num,County
993,Hanover
994,Hansell
995,Hansford
996,Hanson
997,Happy Valley
998,Haralson
999,Hardee
1000,Hardeman
1001,Hardin
1002,Harding
1003,Hardy
1004,Harford
1005,Harlan
1006,Harmon
1007,Harmony
1008,Harnett
1009,Harney
1010,Harper
1011,Harris
1012,Harrison
1013,Harrisonburg (city)
1014,Hart
1015,Hartford
1016,Hartley
1017,Harvey
1018,Haskell
1019,Hasse
1020,Hattiesburg
1021,Hawaii
1022,Hawkins
1023,Hawthorne
1024,Hayes
1025,Haymarket
1026,Haynesville
1027,Hays
1028,Haywood
1029,Hazel Run
1030,Hazelgreen
1031,Heard
1032,Hebert
1033,Heimdal
1034,Helfenstein
1035,Helmer
1036,Hempstead
1037,Henderson
1038,Hendricks
1039,Hendry
1040,Hennepin
1041,Henrico
1042,Henry
1043,Herkimer
1044,Hernando
1045,Herndon
1046,Herriman
1047,Hertford
1048,Hesperia
1049,Hettinger
1050,Hickman
1051,Hickory
1052,Hidalgo
1053,Highland
1054,Highlands
1055,Hightown
1056,Hill
1057,Hillsborough
1058,Hillsdale
1059,Hillview
1060,Hinds
1061,Hinsdale
1062,Hippo
1063,Hitchcock
1064,Hocking
1065,Hockley
1066,Hodgeman
1067,Hoffman Estates
1068,Hoke
1069,Holiday
1070,Holmes
1071,Holt
1072,Honaker
1073,Honolulu
1074,Hood
1075,Hood River
1076,Hopewell (city)
1077,Hopkins
1078,Horry
1079,Horse Shoe Run
1080,Hot Spring
1081,Hot Springs
1082,Houghton
1083,Houston
1084,Howard
1085,Howardstown
1086,Howell
1087,Hubbard
1088,Hudson
1089,Hudspeth
1090,Huerfano
1091,Huff
1092,Hughes
1093,Humboldt
1094,Humphreys
1095,Hunt
1096,Hunt Valley
1097,Hunter
1098,Hunterdon
1099,Huntingdon
1100,Huntington
1101,Huntington Lake
1102,Huntley
1103,Huron
1104,Hutchinson
1105,Hyattsville
1106,Hyde
1107,Iberia
1108,Iberville
1109,Ida
1110,Idaho
1111,Immokalee
1112,Imperial
1113,Independence
1114,Indian River
1115,Indiana
1116,Indianapolis
1117,Ingham
1118,Ingle
1119,Insko
1120,Inyo
1121,Ionia
1122,Iosco
1123,Iowa
1124,Iredell
1125,Irion
1126,Iron
1127,Iroquois
1128,Irvine
1129,Irving
1130,Irwin
1131,Isabella
1132,Isanti
1133,Island
1134,Isle of Wight
1135,Issaquena
1136,Itasca
1137,Itawamba
1138,Izard
1139,Jack
1140,Jackson
1141,Jackson Junction
1142,Jacksonville
1143,Jakin
1144,Jamaica
1145,James City
1146,James Store
1147,Jasper
1148,Jay
1149,Jeff Davis
1150,Jefferson
